LAT,,,,,20.4737,20.4737,20.4737,20.4737
LON,,,,,106.023,106.023,106.023,106.023
ASL,,,,,4,4,4,4
CITY,,,,,Hà Nội,Hà Nội,Hà Nội,Hà Nội
DOMAIN,,,,,NEMSGLOBAL,NEMSGLOBAL,NEMSGLOBAL,NEMSGLOBAL
LEVEL,,,,,2 m above gnd,sfc,10 m above gnd,10 m above gnd
NAME,,,,,Temperature,Total Precipitation,Wind Speed,Wind Direction
UNIT,,,,,°C,mm,km/h,°
AGGREGATION,,,,,,,,
UTC_OFFSET,,,,,7,7,7,7
,,,,,,,,
Year,Month,Day,Hour,Minute,Temperature,Total_Precipitation,Wind_Speed,Wind_Direction
2021,11,30,15,0,23.981821,0,11.3,112.48
2021,11,30,16,0,24.321821,0,12.43,112.11
2021,11,30,17,0,22.991821,0,12.9,112.99
2021,11,30,18,0,22.021822,0,12.72,115.11
2021,11,30,19,0,21.771822,0,12.1,112.75
2021,11,30,20,0,21.161821,0,10.97,113.2
2021,11,30,21,0,20.601822,0,9.83,113.75
2021,11,30,22,0,20.011822,0,9.18,115.56
2021,11,30,23,0,19.53182,0,8.22,118.81
2021,12,1,0,0,18.941822,0,6.92,117.9
2021,12,1,1,0,18.37182,0,6.3,120.96
2021,12,1,2,0,17.861822,0,5.5,121.61
2021,12,1,3,0,17.39182,0,5,120.26
2021,12,1,4,0,16.911821,0,4.83,116.57
2021,12,1,5,0,16.581821,0,5.48,113.2
2021,12,1,6,0,16.251822,0.1,5.96,115.02
2021,12,1,7,0,16.64182,0,6.61,119.36
2021,12,1,8,0,18.39182,0,7.79,123.69
2021,12,1,9,0,19.88182,0,9,126.87
2021,12,1,10,0,21.241821,0,9.69,131.99
2021,12,1,11,0,22.321821,0,10.01,142.31
2021,12,1,12,0,23.29182,0,11.27,153.43
2021,12,1,13,0,24.101822,0,13.44,159.62
2021,12,1,14,0,24.161821,0,15.38,159.44
2021,12,1,15,0,24.04182,0,16.42,154
2021,12,1,16,0,23.71182,0,16.49,148.39
2021,12,1,17,0,21.80182,0,16.2,143.13
2021,12,1,18,0,20.071821,0,15.04,137.91
2021,12,1,19,0,19.22182,0,15.04,137.91
2021,12,1,20,0,18.821821,0,13.49,136.08
2021,12,1,21,0,18.331821,0,12.74,137.29
